Chicago,85,F
Chicago,89,F
Chicago,70,F
Chicago,80,F
Chicago,88,F
Chicago,72,F
Chicago,76,F
Chicago,74,F
Chicago,70,F
San Francisco,61,F
San Francisco,52,F
San Francisco,65,F
San Francisco,57,F
San Francisco,51,F
San Francisco,61,F
San Francisco,55,F
London,15,C
London,10,C
London,18,C
London,19,C
London,17,C
London,18,C
London,11,C
Delhi,30,C
Delhi,23,C
Delhi,27,C
Delhi,21,C
Delhi,29,C
Delhi,22,C
Delhi,28,C
Delhi,20,C
Sydney,32,C
Sydney,27,C
Sydney,82,F
Sydney,25,C
Sydney,81,F
Sydney,76,F
Sydney,20,C
